species,frontsprite,backsprite,minisprite,cry
Bulbasaur,,,,
Ivysaur,,,,
Venusaur-m,venusaur-m-front.png,venusaur-m-back.png,venusaur-mini.png,
Venusaur-f,,,,
Charmander,,,,
Charmeleon,,,,
Charizard,charizard-front.png,charizard-back.png,charizard-mini.png,
Squirtle,,,,
Wartortle,,,,
Blastoise,,,,
Caterpie,,,,
Metapod,,,,
Butterfree,,,,
Weedle,,,,
Kakuna,,,,
Beedrill,,,,
Pidgey,,,,
Pidgeotto,,,,
Pidgeot,pidgeot-front.png,pidgeot-back.png,pidgeot-mini.png,
Rattata,,,,
Raticate,,,,
Spearow,,,,
Fearow,,,,
Ekans,,,,
Arbok,,,,
Pikachu,,,,
Raichu,,,,
Sandshrew,,,,
Sandslash,,,,
Nidoran♀,,,,
Nidorina,,,,
Nidoqueen,,,,
Nidoran♂,,,,
Nidorino,,,,
Nidoking,,,,
Clefairy,,,,
Clefable,,,,
Vulpix,,,,
Ninetales,,,,
Jigglypuff,,,,
Wigglytuff,,,,
Zubat,,,,
Golbat,,,,
Oddish,,,,
Gloom,,,,
Vileplume,,,,
Paras,,,,
Parasect,,,,
Venonat,,,,
Venomoth,,,,
Diglett,,,,
Dugtrio,,,,
Meowth,,,,
Persian,,,,
Psyduck,,,,
Golduck,,,,
Mankey,,,,
Primeape,,,,
Growlithe,,,,
Arcanine,arcanine-front.png,arcanine-back.png,arcanine-mini.png,
Poliwag,,,,
Poliwhirl,,,,
Poliwrath,poliwrath-front.png,poliwrath-back.png,poliwrath-mini.png,
Abra,,,,
Kadabra,,,,
Alakazam,,,,
Machop,,,,
Machoke,,,,
Machamp,,,,
Bellsprout,,,,
Weepinbell,,,,
Victreebel,,,,
Tentacool,,,,
Tentacruel,,,,
Geodude,,,,
Graveler,,,,
Golem,,,,
Ponyta,,,,
Rapidash,,,,
Slowpoke,,,,
Slowbro,,,,
Magnemite,,,,
Magneton,,,,
Farfetch'd,,,,
Doduo,,,,
Dodrio,,,,
Seel,,,,
Dewgong,,,,
Grimer,,,,
Muk,,,,
Shellder,,,,
Cloyster,,,,
Gastly,,,,
Haunter,,,,
Gengar,,,,
Onix,,,,
Drowzee,,,,
Hypno,,,,
Krabby,,,,
Kingler,,,,
Voltorb,,,,
Electrode,,,,
Exeggcute,,,,
Exeggutor,,,,
Cubone,,,,
Marowak,,,,
Hitmonlee,,,,
Hitmonchan,,,,
Lickitung,,,,
Koffing,,,,
Weezing,,,,
Rhyhorn,,,,
Rhydon,,,,
Chansey,,,,
Tangela,,,,
Kangaskhan,,,,
Horsea,,,,
Seadra,,,,
Goldeen,,,,
Seaking,,,,
Staryu,,,,
Starmie,,,,
Mr. Mime,,,,
Scyther,,,,
Jynx,,,,
Electabuzz,,,,
Magmar,,,,
Pinsir,,,,
Tauros,,,,
Magikarp,,,,
Gyarados,,,,
Lapras,,,,
Ditto,,,,
Eevee,,,,
Vaporeon,,,,
Jolteon,,,,
Flareon,,,,
Porygon,,,,
Omanyte,,,,
Omastar,,,,
Kabuto,,,,
Kabutops,,,,
Aerodactyl,,,,
Snorlax,snorlax-front.png,snorlax-back.png,snorlax-mini.png,
Articuno,,,,
Zapdos,,,,
Moltres,,,,
Dratini,,,,
Dragonair,,,,
Dragonite,,,,
Mewtwo,,,,
Mew,,,,
Chikorita,,,,
Bayleef,,,,
Meganium,,,,
Cyndaquil,,,,
Quilava,,,,
Typhlosion,,,,
Totodile,,,,
Croconaw,,,,
Feraligatr,,,,
Sentret,,,,
Furret,,,,
Hoothoot,,,,
Noctowl,,,,
Ledyba,,,,
Ledian,,,,
Spinarak,,,,
Ariados,,,,
Crobat,,,,
Chinchou,,,,
Lanturn,,,,
Pichu,,,,
Cleffa,,,,
Igglybuff,,,,
Togepi,,,,
Togetic,,,,
Natu,,,,
Xatu,,,,
Mareep,,,,
Flaaffy,,,,
Ampharos,,,,
Bellossom,,,,
Marill,,,,
Azumarill,,,,
Sudowoodo,,,,
Politoed,,,,
Hoppip,,,,
Skiploom,,,,
Jumpluff,,,,
Aipom,,,,
Sunkern,,,,
Sunflora,,,,
Yanma,,,,
Wooper,,,,
Quagsire,,,,
Espeon,espeon-front.png,espeon-back.png,espeon-mini.png,
Umbreon,,,,
Murkrow,,,,
Slowking,,,,
Misdreavus,,,,
Unown,,,,
Wobbuffet,,,,
Girafarig-m,,,,
Girafarig-f,girafarig-f-front.png,girafarig-f-back.png,girafarig-mini.png,
Pineco,,,,
Forretress,,,,
Dunsparce,,,,
Gligar,,,,
Steelix,,,,
Snubbull,,,,
Granbull,,,,
Qwilfish,,,,
Scizor,,,,
Shuckle,,,,
Heracross,,,,
Sneasel,,,,
Teddiursa,,,,
Ursaring,,,,
Slugma,,,,
Magcargo,,,,
Swinub,,,,
Piloswine,,,,
Corsola,,,,
Remoraid,,,,
Octillery,,,,
Delibird,,,,
Mantine,,,,
Skarmory,,,,
Houndour,,,,
Houndoom,,,,
Kingdra,,,,
Phanpy,,,,
Donphan,,,,
Porygon2,,,,
Stantler,,,,
Smeargle,,,,
Tyrogue,,,,
Hitmontop,,,,
Smoochum,,,,
Elekid,,,,
Magby,,,,
Miltank,,,,
Blissey,,,,
Raikou,,,,
Entei,,,,
Suicune,suicune-front.png,suicune-back.png,suicune-mini.png,
Larvitar,,,,
Pupitar,,,,
Tyranitar,,,,
Lugia,,,,
Ho-oh,,,,
Celebi,,,,
Treecko,,,,
Grovyle,,,,
Sceptile,,,,
Torchic,,,,
Combusken,,,,
Blaziken,,,,
Mudkip,,,,
Marshtomp,,,,
Swampert,,,,
Poochyena,,,,
Mightyena,,,,
Zigzagoon,,,,
Linoone,,,,
Wurmple,,,,
Silcoon,,,,
Beautifly,,,,
Cascoon,,,,
Dustox,,,,
Lotad,,,,
Lombre,,,,
Ludicolo,,,,
Seedot,,,,
Nuzleaf,,,,
Shiftry,,,,
Taillow,,,,
Swellow,,,,
Wingull,,,,
Pelipper,,,,
Ralts,,,,
Kirlia,,,,
Gardevoir,,,,
Surskit,,,,
Masquerain,,,,
Shroomish,,,,
Breloom,,,,
Slakoth,,,,
Vigoroth,,,,
Slaking,,,,
Nincada,,,,
Ninjask,,,,
Shedinja,,,,
Whismur,,,,
Loudred,,,,
Exploud,,,,
Makuhita,,,,
Hariyama,,,,
Azurill,,,,
Nosepass,,,,
Skitty,,,,
Delcatty,,,,
Sableye,,,,
Mawile,,,,
Aron,,,,
Lairon,,,,
Aggron,,,,
Meditite,,,,
Medicham,,,,
Electrike,,,,
Manectric,,,,
Plusle,plusle-front.png,plusle-back.png,plusle-mini.png,
Minun,minun-front.png,minun-back.png,minun-mini.png,
Volbeat,,,,
Illumise,,,,
Roselia,,,,
Gulpin,,,,
Swalot,,,,
Carvanha,,,,
Sharpedo,,,,
Wailmer,,,,
Wailord,,,,
Numel,,,,
Camerupt,,,,
Torkoal,,,,
Spoink,,,,
Grumpig,,,,
Spinda,,,,
Trapinch,,,,
Vibrava,,,,
Flygon,,,,
Cacnea,,,,
Cacturne,,,,
Swablu,,,,
Altaria,,,,
Zangoose,,,,
Seviper,,,,
Lunatone,,,,
Solrock,,,,
Barboach,,,,
Whiscash,,,,
Corphish,,,,
Crawdaunt,,,,
Baltoy,,,,
Claydol,claydol-front.png,claydol-back.png,claydol-mini.png,
Lileep,,,,
Cradily,,,,
Anorith,,,,
Armaldo,,,,
Feebas,,,,
Milotic,,,,
Castform,,,,
Kecleon,,,,
Shuppet,,,,
Banette,,,,
Duskull,,,,
Dusclops,,,,
Tropius,,,,
Chimecho,,,,
Absol,,,,
Wynaut,,,,
Snorunt,,,,
Glalie,,,,
GlalieMega Glalie,,,,
Spheal,,,,
Sealeo,,,,
Walrein,,,,
Clamperl,,,,
Huntail,,,,
Gorebyss,,,,
Relicanth,,,,
Luvdisc,,,,
Bagon,,,,
Shelgon,,,,
Salamence,,,,
Beldum,,,,
Metang,,,,
Metagross,,,,
Regirock,,,,
Regice,,,,
Registeel,,,,
Latias,,,,
Latios,,,,
Kyogre,,,,
Groudon,,,,
Rayquaza,,,,
Jirachi,,,,
DeoxysNormal Forme,,,,
DeoxysAttack Forme,,,,
DeoxysDefense Forme,,,,
DeoxysSpeed Forme,,,,
Turtwig,,,,
Grotle,,,,
Torterra,,,,
Chimchar,,,,
Monferno,,,,
Infernape,,,,
Piplup,,,,
Prinplup,,,,
Empoleon,,,,
Starly,,,,
Staravia,,,,
Staraptor,,,,
Bidoof,,,,
Bibarel,,,,
Kricketot,,,,
Kricketune,,,,
Shinx,,,,
Luxio,,,,
Luxray,,,,
Budew,,,,
Roserade,,,,
Cranidos,,,,
Rampardos,,,,
Shieldon,,,,
Bastiodon,,,,
Burmy,,,,
WormadamPlant Cloak,,,,
WormadamSandy Cloak,,,,
WormadamTrash Cloak,,,,
Mothim,,,,
Combee,,,,
Vespiquen,,,,
Pachirisu,,,,
Buizel,,,,
Floatzel,,,,
Cherubi,,,,
Cherrim,,,,
Shellos,,,,
Gastrodon,,,,
Ambipom,,,,
Drifloon,,,,
Drifblim,,,,
Buneary,,,,
Lopunny,,,,
Mismagius,,,,
Honchkrow,,,,
Glameow,,,,
Purugly,,,,
Chingling,,,,
Stunky,,,,
Skuntank,,,,
Bronzor,,,,
Bronzong,,,,
Bonsly,,,,
Mime Jr.,,,,
Happiny,,,,
Chatot,,,,
Spiritomb,,,,
Gible,,,,
Gabite,,,,
Garchomp,,,,
Munchlax,,,,
Riolu,,,,
Lucario,,,,
Hippopotas,,,,
Hippowdon,,,,
Skorupi,,,,
Drapion,,,,
Croagunk,,,,
Toxicroak,,,,
Carnivine,,,,
Finneon,,,,
Lumineon,,,,
Mantyke,,,,
Snover,,,,
Abomasnow,,,,
Weavile,,,,
Magnezone,,,,
Lickilicky,,,,
Rhyperior,,,,
Tangrowth,,,,
Electivire,,,,
Magmortar,,,,
Togekiss,,,,
Yanmega,,,,
Leafeon,,,,
Glaceon,,,,
Gliscor,,,,
Mamoswine,,,,
Porygon-Z,,,,
Gallade,,,,
Probopass,,,,
Dusknoir,,,,
Froslass,,,,
Rotom,,,,
RotomHeat Rotom,,,,
RotomWash Rotom,,,,
RotomFrost Rotom,,,,
RotomFan Rotom,,,,
RotomMow Rotom,,,,
Uxie,,,,
Mesprit,,,,
Azelf,,,,
Dialga,,,,
Palkia,,,,
Heatran,,,,
Regigigas,,,,
GiratinaAltered Forme,,,,
GiratinaOrigin Forme,,,,
Cresselia,,,,
Phione,,,,
Manaphy,,,,
Darkrai,,,,
ShayminLand Forme,,,,
ShayminSky Forme,,,,
Arceus,,,,
